name,url,price,location,image,category,likes,city
Teak ship's Wheel coffee table with brass,http://sfbay.craigslist.org/nby/fuo/5439905462.html,$150,no,http://images.craigslist.org/00303_fZFYf4P5J8y_300x300.jpg,coffee_table,0,sfbay
Brass coffee table with glass top,http://sfbay.craigslist.org/nby/fuo/5445435644.html,$50,fairfax,http://images.craigslist.org/00T0T_ehm8IyJ6Uf6_300x300.jpg,coffee_table,0,sfbay
*Burl Coffee Table,http://sfbay.craigslist.org/scz/fuo/5444060955.html,$600,aptos,http://images.craigslist.org/00a0a_i5l9MXIxVUl_300x300.jpg,coffee_table,0,sfbay
Brass & Glass Swivel Tiered Coffee Table - Georgeous,http://sfbay.craigslist.org/sfc/fuo/5429091640.html,$250,lower pac hts,http://images.craigslist.org/00e0e_47nRcOldowm_300x300.jpg,coffee_table,0,sfbay
Redwood Burl Slab Coffee Table ( live edge ),http://sfbay.craigslist.org/sfc/fuo/5402804214.html,"",downtown / civic / van ness,http://images.craigslist.org/00S0S_bTuxDJVa9G6_300x300.jpg,coffee_table,0,sfbay
Noguchi Style Coffee Table Reproduction Replica Black,http://sfbay.craigslist.org/eby/fuo/5431824451.html,$233,berkeley,http://images.craigslist.org/00f0f_guJrLtXSTO1_300x300.jpg,coffee_table,0,sfbay
Glass and brass oval coffee table.,http://sfbay.craigslist.org/sfc/fuo/5442301166.html,$185,inner rich,http://images.craigslist.org/00V0V_111RWOefQ1B_300x300.jpg,coffee_table,0,sfbay
"Art Deco Floor Lamp, Four Unique Coffee Tables, Artwork, Paintings",//sacramento.craigslist.org/fuo/5423186284.html,$20,sac > Granite Bay,http://images.craigslist.org/00W0W_5uvxxUHtLG8_300x300.jpg,coffee_table,0,sfbay
Vintage Hollywood Regency Brass and Glass Koi Fish Coffee Table,//sacramento.craigslist.org/fuo/5447922271.html,$800,sac > West Sacramento,http://images.craigslist.org/00808_3jsuFQNW0pO_300x300.jpg,coffee_table,0,sfbay
Brass Beveled Glass Coffee Table,//sacramento.craigslist.org/fuo/5418957961.html,$1750,sac > fairfield,http://images.craigslist.org/00808_azWdmJLc1Dv_300x300.jpg,coffee_table,0,sfbay
